Vendor, Category, Item, Item Description, Price, Origin, Destination, Rating, Remarks
purebase,Drugs/Cannabis/Concentrates,7g BHO / Honeycomb / Wax / Shatter Properly Purged,*PLEASE READ VENDOR PAGE BEFORE PURCHASING* *SHIPPED FROM USA  DOMESTIC ONLY*  *Smell: Overwhelming skittles or orange cream soda  then it morphs into a variety of citrus smells orange  lemon  an ...,0.37479982,USA,USA,5.00/5,
QuikConnect,Drugs/Cannabis/Concentrates,1g BLUEBERRY  Kush Wax! FE LISTING,Excellent taffy like wax! GREAT for dabs! VERY clean & tasty! 88% THC!,0.172537354,USA,,4.97/5,
Republic,Drugs/Cannabis/Concentrates,3ml THC Vape Liquid / E-juice - Hybrid,-------------------  I personally grow all of the plants  and extract the concentrate to insure high quality. This vape liquid is made made without the use of CO2 or Butane. Dropper bottle is seale ...,0.307726736,USA,USA,5.00/5,
sayno2drugs,Drugs/Cannabis/Concentrates,1g Purple Haze Hash(indica),Disclaimer:  By purchasing or engaging in activity and/or conversation in regard to anything at all from this listing  you must agree with the following terms: You are not a law enforcement officer  ...,0.03407271,USA,Worldwide International,5.00/5,
ScoobyDooSmokes67,Drugs/Cannabis/Concentrates,7 Grams BHO! Pineapple Kush Sugar Wax! Tasty Terpy Taffy! Free Priority Shipping!,Greetings Agora! Happy to be here! I have some wonderful BHO  for sale. This a Tasty Terpy Taffy! Darker shade on the outside  lighter yellow in the inside. I call it a sugar wax. Very smelly and fu ...,0.790880921,USA,,4.99/5,
ScoobyDooSmokes67,Drugs/Cannabis/Concentrates,7 Grams BHO! Platinum OG Wax! Free Fast Priority Shipping/WTracking!,Greetings Agora! Happy to be here! I have some wonderful BHO  for sale.   This is a Sugar wax. Taffy like colors. Darker on the outside and light yellow in the inside. Very smelly and tasty! Full o ...,0.739028237,USA,USA,4.99/5,
ScoobyDooSmokes67,Drugs/Cannabis/Concentrates,3.5 Grams Lemon Drop BHO! Free Priority Shipping w/tracking!,Greetings Agora! Happy to be here! I have some wonderful BHO  for sale.  Here's some descriptions : This is a taffy consistency. Awesome smell! Darker on the outside but light in the inside.   Str ...,0.20443626,USA,,4.99/5,
SeattlesBest,Drugs/Cannabis/Concentrates,0.5g Trim Mix Shatter,****FE may be required if you have less than 5 positive feedbacks from other vendors!****   ***All batches are now de-waxed  and everything looks  smells  and tastes great!!  Get some while it las ...,0.085821778,USA,USA,4.977/5,
shatter_kings_710,Drugs/Cannabis/Concentrates,5 Gram ROBOT Extracts SFV OG Nug Run Shatter,This is some top of the line nug run shatter of SFV OF made by the experts at ROBOT Extracts  this would be considered Cannabis Cup Entry material. All orders come in multiples of .5 gram envelopes.  ...,1.129254508,USA,,~5/5,
soulpusher,Drugs/Cannabis/Concentrates,Weed Tincture - 1/2 fl oz,Hello!!  Up for grabs is a NEW line of tinctures. These are everclear alcohol extraction made with PREMIUM INDOOR TRIM! Ultra tasty clean and powerful. Should take about 1 dropper full for total st ...,0.171820642,,,4.76/5,
spacejam023,Drugs/Cannabis/Concentrates,1 Gram Quality Honey Crumble Wax~ Girl Scout Cookies,Here for sale is    1 gram of high quality crumble wax. This was made using the strain girl scout cookie buds  (no shakes  stems or trim)  Check out my store for other similar listings!,0.200611048,USA,,5.00/5,
stoeprand,Drugs/Cannabis/Concentrates,5gr HASH OIL- ultra potent indoor concentrate,HASH OIL clear brown hash oil extracted from A+ quality indoor buds. the color shows very little amount of green desolved within. high purity concentrate with killer taste!,0.964608478,Netherlands,you,4.77/5,
subwaygal,Drugs/Cannabis/Concentrates,O.pen  Vape Pen Cartridge,O-pen Vaporizer Cartridge 250mg This Listing is for a 250mg Cartridge for the O.pen  Vaporizer. This offering is for one Sativa or Indica Cartridge. You choose when ordering.  A great way to dis ...,0.226698723,USA,USA,5.00/5,
Sun-tzu,Drugs/Cannabis/Concentrates,14 grams BLUE DREAM crumble (INDOOR),This crumble is almost white! if you know what the blue dream strain tastes like  you can definitely taste the blue in your lungs.  product has been vacuum purged. Does not sizzle (if your crumble  ...,1.668015735,USA,usa only,5.00/5,
thagoods,Drugs/Cannabis/Concentrates,1 Gram Shatter THC (Pink Champaign),These are made for dispensaries so quality is good..as for the effects you would have to look it up for that specific name  ABOUT ME:  I was a trusted member of SR 1.0 with a 5.0 rating  98 vendo ...,0.102129796,Canada,Canada,4.871/5,
The_L,Drugs/Cannabis/Concentrates,3.5 Grams of SHATTER (Sale!) [Bubba Kush],Very high purity  introductory listing and pricing!  This BHO is made in a closed loop system and then vacuum purged in an industrial oven for >24 hours resulting in <0 ppm butane in the final prod ...,0.51197734,USA,Worldwide,4.863/5,Average price may be skewed outliar > .5 BTC found
TheBestCannabis,Drugs/Cannabis/Concentrates,3g of Organic Medical BHO {FE} - Free Shipping,Three grams (3g) of the finest quality medical grade BHO  properly purged and produced using organic buds and trim. BHO stands for Butane Honey Oil  and is widely recognized as one of the purest and  ...,124.3348936,USA,USA,4.960/5,Average price may be skewed outliar > .5 BTC found
TheResistance,Drugs/Cannabis/Concentrates,Cannabis Tincture - 5.0 fluid ounces - Organic Alcohol,$105.00 = 5.0 fluid ounces (148 milliliter) Cannabis Tincture. Shipping is free. Your cost is 71 cents per milliliter.  This is Cannabis tincture made with 100% USDA certified Organic Grain alcohol ...,0.436643158,USA,,4.99/5,
TheRoyalOil,Drugs/Cannabis/Concentrates,[HQ] BHO - 1g,Welcome to RoyalOil! Agora's PREMIERE cannabis and concentrate vendor!  Please see our Profile for updates and shipping info.  Here we have our world famous Butane Hash Oil! All of our concentrat ...,0.142040584,USA,Worldwide,4.78/5,
TopShelfBuds,Drugs/Cannabis/Concentrates,1 gram Purple Strawberr Kush BHO - Vac Purged - 5 gram minimum,Highest quality  and lowest price on the dark web. This BHO was made with 99.98% lab grade Butane. it was disolved in hexane and waxes where removed. then it was washed with ethonol and vac purged. w ...,0.0596102,USA,,[0 deals],
Utopic,Drugs/Cannabis/Concentrates,28g | 1oz [Utopic's] TRUSTED A+ Properly Vac Purged ▌Wax \ Crumble / Shatter ▌,[INSANE STEALTH GUARANTEE EVERY ORDER] Properly Purged Wax | Blonde Hash | Cheap AAA Indoor Cannabis ***1000+ SR2 feedback - See my vendor directory link here -> http://directory4iisquf.onion/search? ...,773.6891913,USA,USA,4.846/5,Average price may be skewed outliar > .5 BTC found
vapor_pens,Drugs/Cannabis/Concentrates,O.G. KUSH (WAX  28g),1 oz of O.G. KUSH KRONIC (28g)   Hash oil (also known as hashish oil  BHO  wax  sativa bho  shatter  crumble  indica bho [1] full melt  honey oil ( dabs  or budder) is a form of cannabis. It is a  ...,3.082168916,USA,USA,4.75/5,
weednation,Drugs/Cannabis/Concentrates,50Grams Blueberry Shatter Wax Professionally Purged Rock solid Slabs,ONLY ONE LEFT   FE ONLY!   This shatter is very potent! These Grams are individually packaged for your convenience... Purged from some Indoor blueberry kush. The smoke is very flavorful and very  ...,6.394726476,USA,,4.99/5,
WellnessCenter,Drugs/Cannabis/Concentrates,7 g's of Sour Diesel Wax/BHO/Shatter AAA+ Concentrate!,Sour Diesel Wax/BHO/Shatter. Very strong concentrate. You will love this stuff. Super great for dabs! A little goes a long way. This really is some of the strongest shatter you will every smoke.  T ...,0.89517024,USA,World Wide,5.00/5,
WestCoastCure,Drugs/Cannabis/Concentrates,Girl Scout Cookies WAX BHO (1 Gram Listing)*NEW PRICING*,Girl Scout Cookies WAX BHO (1 Gram Listing)*NEW PRICING*  Bred by The Hemp Center  Girl Scout Cookies was crossed with OG Kush  Durban Poison  and Cherry Kush to create flavors of cotton candy mixe ...,0.206082649,,,4.88/5,
whiteyford,Drugs/Cannabis/Concentrates,1g BHO Oil Kush,BHO Shatter made with kush buds.,0.203460509,Canada,worldwide,4.947/5,
William_Shatner,Drugs/Cannabis/Concentrates,QP of OG Kush Shatter for $2400! Beam Everyone Up!!,William Shatner bringing you OG Kush Shatter!  This is some of the better stuff we've made. Totally stable and snaps right apart. Can hold it in your hand no problem. Can be a little bit darker in  ...,10.1092523,USA,,4.985/5,Average price may be skewed outliar > .5 BTC found
xinhai,Drugs/Cannabis/Concentrates,CAVIAR 7+ grams,Caviar 7+grams  Well organized product that brings new meaning to the word stoned. You get 14+ grams of NorCal green bud that has been saturated in hash oil. Then its tumbled in bubble hash until a ...,209.016631,USA,USA,4.973/5,Average price may be skewed outliar > .5 BTC found
zeltasgarden,Drugs/Cannabis/Concentrates,1 gram Strawberry Dream Crumble Wax,1 gram Strawberry Dream Crumble Wax.  This is some of the best wax you'll find.,0.187705483,USA,USA,4.848/5,
