first,last,season,country,brand,twist,partner,americas_player,season_num,year,age,age_group,zodiac,gender,race_ethnicity,biracial,biracial_one,biracial_two,occupation,occupation_category,lgbt,disability,hometown,state,appearance,last_placement,entrance_num,first_veto,otev,first_hoh,second_hoh,fifth_hoh,expelled,walked,jury,placement,hobbies,motto,hero,fav_tv_show,fav_movie,fav_actor,fav_actress,fav_music,fav_musician,fav_magazine,fav_sport,fav_color,three_adjectives,motivation,strength,weakness,comfort_item,outside_news,physical_or_mental,strategy,bb_fear,fav_sports_team,fav_food,fav_candy,fav_drink,fav_bb_hg,least_fav_bb_hg,dreaded_hg,handle_unexpected,fear,proudest_accomp
Nakomis,Dedmon,bbus7,united_states,all_stars,all_stars,,,7,2006,23,twenties,taurus,female,white,no,,,hostess,food,no,no,san_antonio,tx,2,4,3,no,no,no,no,no,no,no,no,13,art,,,csi,fear_and_loathing_in_las_vegas,none,milla_jovovich,none,mono,,soccer,,,,,,,,,,,none,chips,toblerone,juice,,,,,,
Alison,Irwin,bbus7,united_states,all_stars,all_stars,,,7,2006,25,twenties,leo,female,white,no,,,medical_sales,sales,no,no,meadville,pa,2,2,10,no,no,no,no,no,no,no,no,14,dancing,,,lost,shrek,george_clooney,none,rap,neyo,,ice_skating,,,,,,,,,,,panthers,ice_cream,hersheys,water,,,,,,
Dick,Donato,bbus8,united_states,regular,rivals,Daniele,no,8,2007,44,fourties,cancer,male,white,no,,,bar_manager,management,no,no,los_angeles,ca,1,,13,no,no,no,no,no,no,no,finalist,1,outdoor_activities,,,south_park,star_wars,johnny_depp,angelina_jolie,,guns_n_roses,,football,,,,,,,,,,,jets,seafood,snickers,sprite,,,,,,
Daniele,Donato,bbus8,united_states,regular,rivals,Dick,no,8,2007,20,twenties,leo,female,white,no,,,waitress,food,no,no,huntington_beach,ca,1,,6,yes,no,no,no,yes,no,no,finalist,2,art,,,seinfeld,garden_state,jude_law,kirsten_dunst,,aqualung,,soccer,,,,,,,,,,,angels,junk,mms,water,,,,,,
Zach,Swerdzewski,bbus8,united_states,regular,rivals,,no,8,2007,30,thirties,aries,male,white,no,,,graphic_designer,arts,no,no,tallahassee,fl,1,,9,no,no,no,no,no,no,no,yes,3,outdoor_activities,,,lost,lord_of_the_rings,johnny_depp,keira_knightley,,armin_van_buuren,,scuba_diving,,,,,,,,,,,seminoles,seafood,heath,juice,,,,,,
Jameka,Cameron,bbus8,united_states,regular,rivals,,no,8,2007,28,twenties,cancer,female,black,no,,,school_counselor,education,no,no,waldorf,md,1,,5,no,no,no,no,no,no,no,yes,4,watching_tv,,,big_brother,the_notebook,omar_epps,sanaa_lathan,,john_mayer,,kickball,,,,,,,,,,,redskins,pasta,kit_kat,water,,,,,,
Eric,Stein,bbus8,united_states,regular,rivals,,yes,8,2007,27,twenties,aquarius,male,white,no,,,talent_management_assistant,business,no,no,new_york_city,ny,1,,11,no,yes,no,no,no,no,no,yes,5,watching_tv,,,scrubs,clue,john_krasinski,minka_kelly,,allister,,wiffleball,,,,,,,,,,,yankees,jello,twix,gatorade,,,,,,
Jessica,Hughbanks,bbus8,united_states,regular,rivals,Carol,no,8,2007,21,twenties,capricorn,female,white,no,,,college_student,student,no,no,haysville,ks,1,,12,no,no,no,no,no,no,no,yes,6,dancing,,,big_brother,mean_girls,dermot_mulroney,cameron_diaz,,carrie_underwood,,anything,,,,,,,,,,,kansas_state,sushi,snickers,red_bull,,,,,,
Amber,Siyavus,bbus8,united_states,regular,rivals,,no,8,2007,27,twenties,pisces,female,white,no,,,waitress,food,no,no,las_vegas,nv,1,,2,no,no,no,no,no,no,no,yes,7,sports,,,forensic_files,alpha_dog,adam_sandler,drew_barrymore,,avril_lavigne,,basketball,,,,,,,,,,,buccaneers,salad,hersheys_almond,tea,,,,,,
Jen,Johnson,bbus8,united_states,regular,rivals,,no,8,2007,23,twenties,taurus,female,white,no,,,nanny,childcare,no,no,beverly_hills,ca,1,,8,no,no,no,yes,no,no,no,yes,8,shopping,,,none,this_is_spinal_tap,josh_duhamel,jennifer_aniston,,justin_timberlake,,football,,,,,,,,,,,suns,fruit,snickers,kombucha,,,,,,
Dustin,Erikstrup,bbus8,united_states,regular,rivals,Joe,no,8,2007,22,twenties,aquarius,male,white,no,,,shoe_salesman,sales,gay,no,chicago,il,1,,14,no,no,no,no,no,no,no,yes,9,exercising,,,the_office,the_beach,joseph_fiennes,parker_posey,,fischerspooner,,frisbee,,,,,,,,,,,cubs,peanut_butter,heath,coffee,,,,,,
Kail,Harbick,bbus8,united_states,regular,rivals,,no,8,2007,37,thirties,libra,female,white,no,,,business_owner,management,no,no,mckenzie_bridge,or,1,,10,no,no,yes,no,no,no,no,no,10,work,,,big_brother,grease,tom_cruise,julia_roberts,,cher,,weightlifting,,,,,,,,,,,trailblazers,chicken,nestle_crunch,tea,,,,,,
Nick,Starcevic,bbus8,united_states,regular,rivals,,no,8,2007,25,twenties,pisces,male,white,no,,,unemployed,unemployed,no,no,kimball,mn,1,,7,no,no,no,no,no,no,no,no,11,outdoor_activities,,,sportscenter,legends_of_the_fall,mel_gibson,rachel_mcadams,,journey,,football,,,,,,,,,,,vikings,tacos,snickers,protein_shake,,,,,,
Mike,Dutz,bbus8,united_states,regular,rivals,,no,8,2007,26,twenties,leo,male,white,no,,,painting_contractor,construction,no,no,three_lakes,wi,1,,4,no,no,no,no,no,no,no,no,12,reading,,,two_and_a_half_men,gladiator,leonardo_dicaprio,mischa_barton,,the_killers,,basketball,,,,,,,,,,,packers,steak,snickers,smoothie,,,,,,
Joe,Barber,bbus8,united_states,regular,rivals,Dustin,no,8,2007,23,twenties,libra,male,white,no,,,receptionist,office,gay,no,chicago,il,1,,1,no,no,no,no,no,no,no,no,13,video_games,,,queer_as_folk,girls_will_be_girls,kevin_spacey,rose_mcgowan,,lily_allen,,volleyball,,,,,,,,,,,none,pork_chops,caramello,pepsi,,,,,,
Carol,Journey,bbus8,united_states,regular,rivals,Jessica,no,8,2007,21,twenties,pisces,female,latinx,no,,,college_student,student,no,no,lawrence,ks,1,,3,no,no,no,no,no,no,no,no,14,dancing,,,sytycd,none,orlando_bloom,eva_mendes,,matt_wertz,,softball,,,,,,,,,,,kansas,pasta,everything,juice,,,,,,
Adam,Jasinski,bbus9,united_states,winter,soulmates,Sheila,,9,2008,29,twenties,taurus,male,white,no,,,public_relations_manager,management,no,no,delray_beach,fl,1,,12,no,no,no,no,no,no,no,finalist,1,,,mom,,,,,,,,,,stylish trendsetting good_person,,,,,,,,,,,,,,,,,,clothing_label
Ryan,Quicksall,bbus9,united_states,winter,soulmates,Allison,,9,2008,27,twenties,virgo,male,white,no,,,college_student,student,no,no,columbus,oh,1,,10,no,yes,no,no,no,no,no,finalist,2,,,,,,,,,,,basketball,,intelligent easy_going funny,,,,,,,,,,,,,,,,,,
Sheila,Kennedy,bbus9,united_states,winter,soulmates,Adam,,9,2008,45,fourties,aries,female,white,no,,,former_model,unemployed,no,no,reseda,ca,1,,3,no,no,no,no,no,no,no,yes,3,,,sister,,,,,,,,,,vibrant sexy fun,,,,,,,,,,,,,,,,,,children
Sharon,Obermueller,bbus9,united_states,winter,soulmates,Jacob,,9,2008,23,twenties,cancer,female,white,no,,,real_estate_broker,real_estate,no,no,olathe,ks,1,,7,no,no,no,no,no,no,no,yes,4,socializing,,,friends,the_break_up,,,,,vogue,,,loud dramatic over_the_top,,,,,,,,,panthers,,,,,,,,,
Natalie,Cunial,bbus9,united_states,winter,soulmates,Matt,,9,2008,28,twenties,scorpio,female,white,no,,,bikini_barista,food,no,no,salem,or,1,,1,yes,no,no,no,no,no,no,yes,5,pageants,,god,,,,,,,,,,,,,,,,,,,,,,coffee,,,,,,pageant
James,Zinkland,bbus9,united_states,winter,soulmates,Chelsia,,9,2008,21,twenties,scorpio,male,white,no,,,cyclist,exercise,bisexual,no,sarasota,fl,1,,14,no,no,no,yes,yes,no,no,yes,6,,,family,,fight_club,,,,the_clash,,,,insane crazy multiple_personalities,,,,,,,,,,,,,,,,,,
Joshuah,Welch,bbus9,united_states,winter,soulmates,Neil,,9,2008,25,twenties,gemini,male,white,no,,,advertising_media_buyer,advertising,gay,no,dallas,tx,1,,9,no,no,no,no,no,no,no,yes,7,,,,,,,,,,,football,,,,,,,,,,,,,,,,,,,snakes,
Chelsia,Hart,bbus9,united_states,winter,soulmates,James,,9,2008,21,twenties,scorpio,female,white,no,,,college_student,student,no,no,cedar_falls,ia,1,,5,no,no,no,yes,no,no,no,yes,8,dancing,,,big_brother,american_beauty,,,,tool,,football,,wild sincere competitive,,,,,,,,,,,,,,,,,,
Matt,McDonald,bbus9,united_states,winter,soulmates,Natalie,,9,2008,23,twenties,aries,male,white,no,,,roofing_foreman,construction,no,no,charlestown,ma,1,,15,yes,no,no,no,no,no,no,yes,9,,,,entourage,blow,,,hip_hop,jayz,maxim,basketball,,handsome spontaneous charming,,sweet_talker,,,,,,,red_sox,,,,,,,,,
Allison,Nichols,bbus9,united_states,winter,soulmates,Ryan,,9,2008,28,twenties,leo,female,white,no,,,pharmaceutical_sales_representative,sales,no,no,boston,ma,1,,4,no,no,no,no,no,no,no,no,10,exercising,,,,,,,,,,,,confident agile sexy,,,,,,,,,,,,,,,,,,
Alex,Coladonato,bbus9,united_states,winter,soulmates,Amanda,,9,2008,24,twenties,leo,male,white,no,,,dj_company_owner,management,no,no,staten_island,ny,1,,11,no,no,yes,no,no,no,no,no,11,dancing,,dad,,wedding_crashers,,,mainstream,,maxim,hockey,,,,,,,,,,,,,,,,,,,,
Amanda,Hansen,bbus9,united_states,winter,soulmates,Alex,,9,2008,23,twenties,leo,female,white,no,,,paralegal,law,no,no,fridley,mn,1,,6,no,no,yes,no,no,no,no,no,12,cooking,,family,,,,,,,,football,,,,,,,,,,,,,,,,,,,,
Jen,Diturno,bbus9,united_states,winter,soulmates,Parker,,9,2008,26,twenties,libra,female,white,no,,,bartender,food,no,no,columbus,oh,1,,2,no,no,no,no,no,no,no,no,13,shopping,,,big_brother,blade,,,,,in_touch,cheerleading,,energetic adventurous beautiful,,,,,,,,,,,,,,,,,,
Parker,Somerville,bbus9,united_states,winter,soulmates,Jen,,9,2008,26,twenties,aries,male,black,no,,,paparazzo,entertainment,no,no,northridge,ca,1,,8,no,no,no,no,no,no,no,no,14,socializing,,,weeds,american_beauty,,,,,,,,inappropriate unpredictable authentic,,,,,,,,,,,,,,,,,,losing_weight
Neil,Garcia,bbus9,united_states,winter,soulmates,Joshuah,,9,2008,29,twenties,virgo,male,latinx,no,,,realtor,real_estate,gay,no,los_angeles,ca,1,,13,no,no,no,no,no,no,yes,no,15,outdoor_activities,,mom,,,,,,,,dodgeball,,loyal outgoing energetic,,,,,,,,,,,,,,,,,,
Jacob,Heald,bbus9,united_states,winter,soulmates,Sharon,,9,2008,23,twenties,taurus,male,white,no,,,electrician,construction,no,no,dallas,ga,1,,16,no,no,no,no,no,no,no,no,16,outdoor_activities,,,monday_night_football,the_rock,,,,,,football,,funny energetic caring,,,,,,,,,,,,,,,,,,marine_corps
Dan,Gheesling,bbus10,united_states,regular,,,yes,10,2008,24,twenties,virgo,male,white,no,,,catholic_school_teacher,education,no,no,dearborn,mi,1,,5,no,,no,no,no,no,no,finalist,1,sports,,,,the_godfather,,,alternative,frank_sinatra,,football,black,,,,,,,,,,,sushi,,,,,,,,
